,CO,C=O,CN,C=N,C#N
468,2,2,1,0,0
469,1,1,2,0,0
470,2,1,0,0,0
471,1,3,0,0,0
472,1,2,0,0,0
473,5,0,2,0,0
474,6,0,0,0,0
475,3,1,0,0,0
476,6,0,0,0,0
477,6,0,0,0,0
478,2,2,4,0,0
479,0,0,0,0,0
480,5,1,0,0,0
481,6,0,0,0,0
482,7,0,0,0,0
483,0,0,0,0,0
484,1,0,4,0,0
485,1,0,4,0,0
486,2,2,0,0,0
487,2,5,5,0,0
488,6,0,1,0,0
489,0,1,0,0,0
490,0,0,0,0,0
491,0,0,0,0,0
492,11,1,5,1,0
493,5,0,0,0,0
494,6,1,1,0,0
495,0,1,5,0,0
496,0,2,5,0,0
497,8,0,2,0,0
498,1,2,2,0,0
499,1,1,3,1,0
500,1,1,6,1,0
501,0,1,4,0,0
502,0,2,4,0,0
503,0,1,3,1,0
504,5,0,1,0,0
505,0,0,0,0,0
506,8,0,0,0,0
507,5,0,0,0,0
508,10,0,0,0,0
509,0,0,0,0,0
510,1,0,0,0,0
511,1,3,0,0,0
512,4,3,0,0,0
513,6,1,0,0,0
514,4,3,0,0,0
515,3,1,0,0,0
516,8,8,3,1,0
517,10,8,3,1,0
518,4,2,0,0,0
519,2,0,1,0,0
520,8,3,4,0,0
521,8,9,4,2,0
522,1,3,0,0,0
523,3,3,0,0,0
524,3,2,0,0,0
525,8,9,5,3,0
526,0,1,0,0,0
527,3,2,1,0,0
528,2,1,0,0,0
529,2,3,6,1,0
530,7,3,5,0,0
531,8,8,6,2,0
532,0,0,0,0,0
533,8,8,6,2,0
534,1,1,1,0,0
535,7,7,5,3,0
536,7,7,4,4,0
537,5,7,6,4,0
538,5,7,6,4,0
539,1,0,0,0,1
540,0,1,0,0,0
541,3,2,0,0,0
542,4,3,0,0,0
543,0,0,0,0,0
544,0,0,0,0,0
545,1,1,0,0,0
546,1,1,0,0,0
547,3,3,0,0,0
548,4,3,0,0,0
549,3,4,0,0,0
550,3,2,0,0,0
551,13,4,5,0,0
552,3,3,0,0,0
