,CID,smiles_repr,selfies_repr,h_acc,h_don,C,H,O,N,P,Cl,S,Se,As,Br,Ca,Co,Fe,Hg,I,K,Mg,Na,Ni,W,B,F,Si,Te,Al
27,28,C(=CC(=O)O)C=C(C(=O)O)N,[C][=Branch1][#Branch1][=C][C][=Branch1][C][=O][O][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N],3,5,6,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,C(=O)C(C(=O)O)N,[C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N],2,4,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,C(=CC=O)C=C(C(=O)O)N,[C][=Branch1][Ring2][=C][C][=O][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N],2,4,6,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,CC(CO)(C(COP(=O)(O)O)O)O,[C][C][Branch1][Ring1][C][O][Branch1][#C][C][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O],5,7,5,13,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,C(=CC(=O)O)C=C(C(=O)O)C(=O)O,[C][=Branch1][#Branch1][=C][C][=Branch1][C][=O][O][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],3,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,33,C(C=O)Cl,[C][Branch1][Ring1][C][=O][Cl],0,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,C(CCl)O,[C][Branch1][Ring1][C][Cl][O],1,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,C1=CC(OC1=O)(CC(=O)O)Cl,[C][=C][C][Branch1][=Branch1][O][C][Ring1][Branch1][=O][Branch1][#Branch1][C][C][=Branch1][C][=O][O][Cl],1,4,6,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,CC(C)C(C(C(=O)O)O)C(=O)O,[C][C][Branch1][C][C][C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][=Branch1][C][=O][O],3,5,7,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,C(C(C(CO)O)O)C(=O)C(=O)O,[C][Branch1][O][C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O],4,6,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,CC(C)(CO)C(=O)C(=O)O,[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O],2,4,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,CC1(COC(=O)C1=O)C,[C][C][Branch1][O][C][O][C][=Branch1][C][=O][C][Ring1][=Branch1][=O][C],0,3,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,C1C(C(C(OC1O)CO)O)O,[C][C][Branch1][#C][C][Branch1][O][C][Branch1][=Branch1][O][C][Ring1][=Branch1][O][C][O][O][O],4,5,6,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,CSCCC(=O)C(=COP(=O)(O)O)O,[C][S][C][C][C][=Branch1][C][=O][C][=Branch1][O][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][O],3,7,6,11,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O,[C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][O],3,6,9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,C(CC(=O)O)C(C(=O)O)O,[C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O],3,5,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,C(C(=O)[O-])(C(=O)[O-])O,[C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O],1,5,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,C(C(=O)O)(C(=O)O)O,[C][Branch1][=Branch1][C][=Branch1][C][=O][O][Branch1][=Branch1][C][=Branch1][C][=O][O][O],3,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O,[C][Branch2][Ring1][Ring1][C][Branch1][#C][C][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O],5,9,6,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,CCC(C)C(=O)C(=O)O,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O],1,3,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,C(CC(=O)N)C(=O)C(=O)O,[C][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=Branch1][C][=O][O],2,4,5,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,49,CC(C)C(=O)C(=O)O,[C][C][Branch1][C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O],1,3,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,50,C(C(C(C(C(=O)C(=O)O)O)O)O)O,[C][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][C][Branch1][=C][C][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][O][O][O][O][O],5,7,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51,C(CC(=O)O)C(=O)C(=O)O,[C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O],2,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,52,CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,[C][C][Branch1][=Branch1][C][Branch1][C][C][O][C][=Branch1][C][=O][S][C][C][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][Branch2][=Branch1][Ring2][C][Branch1][C][C][Branch1][C][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O],10,23,26,44,18,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,[C][C][Branch1][=Branch1][C][=Branch1][C][=O][C][C][=Branch1][C][=O][S][C][C][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][Branch2][=Branch1][Ring2][C][Branch1][C][C][Branch1][C][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O],9,23,26,42,18,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][S][C][C][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][Branch2][=Branch1][Ring2][C][Branch1][C][C][Branch1][C][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O],9,22,26,44,17,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C,[C][C][=Branch2][=Branch1][Branch2][=C][C][C][C][=Branch2][Branch1][S][=C][C][C][C][=Branch2][Branch1][Branch2][=C][C][C][C][=Branch2][Ring2][S][=C][C][C][C][=Branch2][Ring2][Branch2][=C][C][C][C][=Branch2][Ring1][S][=C][C][C][C][=Branch2][Ring1][Branch2][=C][C][C][C][=Branch1][P][=C][C][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][O][C][C][C][C][C][C][C][C],2,2,46,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,56,CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C,[C][C][=C][C][C][C][=Branch2][=Branch1][C][=C][C][C][C][=Branch2][Branch1][#Branch2][=C][C][C][C][=Branch2][Branch1][C][=C][C][C][C][=Branch2][Ring2][#Branch2][=C][C][C][C][=Branch2][Ring2][C][=C][C][C][C][=Branch2][Ring1][#Branch2][=C][C][C][C][=Branch2][Ring1][C][=C][C][C][=C][Branch1][O][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][O][C][C][C][C][C][C][C],1,2,46,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,57,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C,[C][C][=Branch2][=Branch1][Ring1][=C][C][C][C][=Branch2][Branch1][O][=C][C][C][C][=Branch2][Branch1][Ring1][=C][C][C][C][=Branch2][Ring2][O][=C][C][C][C][=Branch2][Ring2][Ring1][=C][C][C][C][=Branch2][Ring1][O][=C][C][C][C][=Branch2][Ring1][Ring1][=C][C][C][C][=Branch1][N][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][C][C][C][C][C][C],1,1,46,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,58,CCC(=O)C(=O)O,[C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O],1,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,59,C(C(C(=O)O)OP(=O)(O)O)O,[C][Branch2][Ring1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O],4,7,3,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,60,CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O,[C][C][Branch1][Ring1][C][O][Branch2][Branch1][=Branch1][C][Branch2][Ring2][P][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=C][C][=Branch1][=Branch1][=N][C][Ring1][=Branch1][=O][N][O][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O],9,17,14,26,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O,[C][Branch2][Ring1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O],5,10,3,8,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62,C1=C(C(C=C(C1O)Cl)Cl)Cl,[C][=C][Branch1][=C][C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][Ring1][=Branch1][O][Cl][Cl][Cl],1,1,6,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,CC(CC(C(=O)O)N)N,[C][C][Branch1][O][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][N],3,4,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,64,C1=C(C(C=C(C1O)Cl)O)Cl,[C][=C][Branch1][=C][C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][Ring1][=Branch1][O][Cl][O][Cl],2,2,6,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,65,C1=C(C(=CC(=C1Cl)O)Cl)O,[C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][O][Cl][O],2,2,6,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,66,C1=CC(=C(C=C1Cl)O)Cl,[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][O][Cl],1,1,6,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,67,C(C(=O)C(C(C(=O)C(=O)O)O)O)O,[C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][=C][C][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][O][O][O][O],4,7,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,68,CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO,[C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][N][O][P][=Branch1][C][=O][Branch1][Ring2][O][Ring1][#Branch2][O][O][O][C][O],4,9,5,12,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69,CC(=O)C=CC=C(C(=O)O)O,[C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][O],2,4,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,70,CC(C)CC(=O)C(=O)O,[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O],1,3,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,71,C(CC(=O)C(=O)O)CC(=O)O,[C][Branch1][O][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O],2,5,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,72,C1=CC(=C(C=C1C(=O)O)O)O,[C][=C][C][=Branch1][=C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O],3,4,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,73,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,[C][=N][C][=Branch2][Ring2][P][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][Branch1][Branch1][C][=N][Ring1][=Branch1][C][C][Branch2][Ring1][=N][C][Branch1][P][C][Branch1][Ring2][O][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][N],6,14,10,15,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
